"selec","View","Channel","start","end","sound.files","Begin Path","File Offset (s)","bottom.freq","top.freq","score","class_fixed","class","org.sound.files","selec.file","detection"
49098,"Spectrogram 1",1,62.2751,62.313666343,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",62.2751,16.311722,28.738392,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49099,"Spectrogram 1",1,68.8674,68.921392881,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",68.8674,15.182025,30.244655,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49100,"Spectrogram 1",1,70.2172,70.268621791,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",70.2172,15.935157,27.043846,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45901,"Spectrogram 1",1,70.2749,70.3259,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",70.2749,13.3548,42.8226,0.6621048,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49101,"Spectrogram 1",1,70.2866,70.33802179,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",70.2866,15.558591,27.420412,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45862,"Spectrogram 1",1,70.6502,70.7012,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",70.6502,13.3548,42.8226,0.7228748,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
45863,"Spectrogram 1",1,72.4142,72.4652,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",72.4142,13.3548,42.8226,0.6854588,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
45897,"Spectrogram 1",1,74.6063,74.6573,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",74.6063,13.3548,42.8226,0.6775956,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49102,"Spectrogram 1",1,76.621,76.672421791,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",76.621,15.746874,35.704858,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49103,"Spectrogram 1",1,79.77,79.823992881,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",79.77,14.805459,27.420412,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49104,"Spectrogram 1",1,82.588,82.636850702,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",82.588,14.617176,33.633746,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45864,"Spectrogram 1",1,83.2163,83.2673,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",83.2163,13.3548,42.8226,0.7234521,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49105,"Spectrogram 1",1,84.2849,84.331179612,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",84.2849,15.558591,27.232129,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49106,"Spectrogram 1",1,84.6911,84.755377238,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",84.6911,15.558591,32.315766,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49107,"Spectrogram 1",1,84.8171,84.883948328,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",84.8171,15.182025,33.633746,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45865,"Spectrogram 1",1,85.7416,85.7926,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",85.7416,13.3548,42.8226,0.7152264,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49109,"Spectrogram 1",1,87.6993,87.755863969,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",87.6993,14.993742,31.374352,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49110,"Spectrogram 1",1,88.2007,88.249550701,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",88.2007,16.311722,30.432938,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49111,"Spectrogram 1",1,89.2831,89.331950702,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",89.2831,16.311722,29.679806,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45866,"Spectrogram 1",1,91.369,91.42,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",91.369,13.3548,42.8226,0.7670384,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49112,"Spectrogram 1",1,91.9699,92.016179611,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",91.9699,17.064854,29.868089,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45867,"Spectrogram 1",1,94.2883,94.3393,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",94.2883,13.3548,42.8226,0.7146662,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49108,"Spectrogram 1",1,95.428,95.492277238,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",95.428,15.746874,30.432938,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45868,"Spectrogram 1",1,96.9483,96.9993,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",96.9483,13.3548,42.8226,0.6406912,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49115,"Spectrogram 1",1,97.9142,97.96562179,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",97.9142,16.500005,34.198595,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49116,"Spectrogram 1",1,98.395,98.45156397,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",98.395,17.064854,31.939201,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49117,"Spectrogram 1",1,99.3797,99.425979612,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",99.3797,14.617176,26.290714,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45869,"Spectrogram 1",1,99.8897,99.9407,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",99.8897,13.3548,42.8226,0.7405372,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49113,"Spectrogram 1",1,101.1847,101.225837433,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",101.1847,15.558591,35.893141,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49114,"Spectrogram 1",1,101.9611,102.043374865,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",101.9611,16.876571,32.692332,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49118,"Spectrogram 1",1,102.7016,102.760735059,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",102.7016,14.805459,30.056372,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49119,"Spectrogram 1",1,103.8097,103.858550702,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",103.8097,15.935157,28.926675,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49120,"Spectrogram 1",1,108.16,108.221706149,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",108.16,14.805459,28.173543,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49121,"Spectrogram 1",1,110.9959,111.04989288,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",110.9959,16.311722,30.62122,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49122,"Spectrogram 1",1,111.2093,111.273577238,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",111.2093,15.935157,30.244655,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45870,"Spectrogram 1",1,111.2104,111.2614,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",111.2104,13.3548,42.8226,0.6408889,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49123,"Spectrogram 1",1,113.747,113.785566343,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",113.747,16.876571,29.679806,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49124,"Spectrogram 1",1,114.9863,115.035150701,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",114.9863,16.500005,28.738392,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45871,"Spectrogram 1",1,115.8211,115.8721,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",115.8211,13.3548,42.8226,0.7571035,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49125,"Spectrogram 1",1,115.827,115.878421791,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",115.827,16.123439,31.374352,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45872,"Spectrogram 1",1,116.5864,116.6374,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",116.5864,13.3548,42.8226,0.7916464,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49126,"Spectrogram 1",1,116.6009,116.639466344,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",116.6009,15.182025,30.244655,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49127,"Spectrogram 1",1,117.9147,117.955837433,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",117.9147,15.746874,26.855563,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49128,"Spectrogram 1",1,120.383,120.426708522,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",120.383,14.617176,30.62122,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49129,"Spectrogram 1",1,121.594,121.65056397,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",121.594,15.558591,26.478997,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45873,"Spectrogram 1",1,122.8117,122.8627,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",122.8117,13.3548,42.8226,0.7593458,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49130,"Spectrogram 1",1,122.8204,122.869250702,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",122.8204,14.617176,32.127483,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45881,"Spectrogram 1",1,122.9291,122.9801,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",122.9291,13.3548,42.8226,0.7915957,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49131,"Spectrogram 1",1,122.9335,122.987492881,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",122.9335,14.617176,32.692332,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49132,"Spectrogram 1",1,123.1315,123.190635059,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",123.1315,15.182025,31.750918,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45874,"Spectrogram 1",1,126.2631,126.3141,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",126.2631,13.3548,42.8226,0.7469513,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49133,"Spectrogram 1",1,126.8416,126.885308522,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",126.8416,16.876571,33.257181,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49134,"Spectrogram 1",1,127.6746,127.736306149,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",127.6746,15.370308,33.068898,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45875,"Spectrogram 1",1,127.7471,127.7981,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",127.7471,13.3548,42.8226,0.7668691,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
45876,"Spectrogram 1",1,128.6091,128.6601,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",128.6091,13.3548,42.8226,0.7341625,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
