Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin.Path	File.Offset..s.	selec.file	event	detection	class_fixed	class	score	org.sound.files	check.res	duration	min.n.samples	sample.rate	channels	bits	sound.file.samples	Audio	year	year.audio	tipo.de.video	Experimento	Grupo	Individuo	date	old.selec
21	Spectrogram 1	1	36.926800000	36.977800000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	36.926800	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	36.9268	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.6604302	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12980
22	Spectrogram 1	1	38.852800000	38.903800000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	38.852800	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	38.8528	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.673596	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999998954	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12882
23	Spectrogram 1	1	39.239500000	39.290500000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	39.239500	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	39.2395	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.7258626	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12957
24	Spectrogram 1	1	40.799500000	40.850500000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	40.799500	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	40.7995	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.7352587	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999998954	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12953
25	Spectrogram 1	1	41.449500000	41.500500000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	41.449500	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	41.4495	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.6588189	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12983
26	Spectrogram 1	1	41.644800000	41.695800000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	41.644800	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	41.6448	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.7619355	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12934
27	Spectrogram 1	1	41.704200000	41.755200000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	41.704200	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	41.7042	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.8521568	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12897
28	Spectrogram 1	1	43.458900000	43.509900000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	43.458900	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	43.4589	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.8229613	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	2818
29	Spectrogram 1	1	43.458900000	43.509900000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	43.458900	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	43.4589	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.8465481	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12898
30	Spectrogram 1	1	45.080200000	45.131200000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	45.080200	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	45.0802	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.6256167	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12992
