Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Rraven.labels
344	Spectrogram 1	1	1271.709736949	1271.769892341	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	53.035022	11171.49124	36971.33325	
345	Spectrogram 1	1	1280.446422955	1280.499501242	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	61.771711	13464.81053	38117.99290	
346	Spectrogram 1	1	1287.537682070	1287.590760357	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	68.862967	12604.81579	36684.66834	
347	Spectrogram 1	1	1293.132133260	1293.188750100	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	74.457422	10311.49650	36971.33325	
348	Spectrogram 1	1	1298.953052045	1299.020284542	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	80.278344	11171.49124	36684.66834	
349	Spectrogram 1	1	1303.783176143	1303.850408640	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	85.108467	12318.15088	38117.99290	
350	Spectrogram 1	1	1309.752714131	1309.830562285	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	91.078000	12031.48597	36971.33325	
351	Spectrogram 1	1	1315.233931643	1315.290548482	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	96.559222	12972.97297	36891.89189	
352	Spectrogram 1	1	1325.152494168	1325.209111007	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	106.477778	12972.97297	36486.48649	
353	Spectrogram 1	1	1320.807151756	1320.870845700	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	102.132444	10540.54054	39324.32432	
354	Spectrogram 1	1	1330.658481784	1330.736329938	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	111.983767	9729.72973	37297.29730	
355	Spectrogram 1	1	1335.520452855	1335.605378113	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	116.845744	10945.94595	41756.75676	
356	Spectrogram 1	1	1326.235291218	1326.309600820	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	107.560578	11756.75676	43378.37838	
357	Spectrogram 1	1	1339.105006251	1339.168700195	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	120.430300	10540.54054	35270.27027	
358	Spectrogram 1	1	1341.465220737	1341.543068891	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	122.790511	11756.75676	38513.51351	
