"Día","Hora","Audio","Video","tipo de video","Grupo","Individuo","Experimento","Color","Tiempo de vuelo","Anotaciones","Video camara 1","Video camara 3","Video camara 5","Video camara respaldo","year","year.audio"
2020-01-16,NA,"19","24","experimento","3","982126051278564","vuelo grupal/sin sonido","naranja","0.125",NA,"UCR-MPI_exp24_cam1_2020-1-16","UCR-MPI_exp24_cam3_2020-1-16","UCR-MPI_exp24_cam5_2020-1-16",NA,"2020","2020-19"
2020-01-16,NA,"19","24","experimento","3","982126052945896","vuelo grupal/sin sonido","amarillo","0.125",NA,"UCR-MPI_exp24_cam1_2020-1-16","UCR-MPI_exp24_cam3_2020-1-16","UCR-MPI_exp24_cam5_2020-1-16",NA,"2020","2020-19"
2020-01-16,NA,"8","13","experimento","3","982000359237615","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp13_cam1_2020-1-16","UCR-MPI_exp13_cam3_2020-1-16","UCR-MPI_exp13_cam5_2020-1-16",NA,"2020","2020-8"
2020-01-16,NA,"11","16","experimento","3","982126051278504","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp16_cam1_2020-1-16","UCR-MPI_exp16_cam3_2020-1-16","UCR-MPI_exp16_cam5_2020-1-16",NA,"2020","2020-11"
2020-01-16,NA,"12","17","experimento","3","982126051278529","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp17_cam1_2020-1-16","UCR-MPI_exp17_cam3_2020-1-16","UCR-MPI_exp17_cam5_2020-1-16",NA,"2020","2020-12"
2020-01-16,NA,"9","14","experimento","3","982126051278564","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp14_cam1_2020-1-16","UCR-MPI_exp14_cam3_2020-1-16","UCR-MPI_exp14_cam5_2020-1-16",NA,"2020","2020-9"
2020-01-16,NA,"10","15","experimento","3","982126052945896","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp15_cam1_2020-1-16","UCR-MPI_exp15_cam3_2020-1-16","UCR-MPI_exp15_cam5_2020-1-16",NA,"2020","2020-10"
2020-01-16,NA,"22","26","experimento","6","900200000279818","vuelo grupal/enmascarando busqueda","blanco","0.0833333333333333",NA,"UCR-MPI_exp26_cam1_2020-1-16","UCR-MPI_exp26_cam3_2020-1-16","UCR-MPI_exp26_cam5_2020-1-16",NA,"2020","2020-22"
2020-01-16,NA,"22","26","experimento","6","982126051278521","vuelo grupal/enmascarando busqueda","amarillo","0.0833333333333333",NA,"UCR-MPI_exp26_cam1_2020-1-16","UCR-MPI_exp26_cam3_2020-1-16","UCR-MPI_exp26_cam5_2020-1-16",NA,"2020","2020-22"
2020-01-16,NA,"22","26","experimento","6","982126058484263","vuelo grupal/enmascarando busqueda","naranja","0.0833333333333333",NA,"UCR-MPI_exp26_cam1_2020-1-16","UCR-MPI_exp26_cam3_2020-1-16","UCR-MPI_exp26_cam5_2020-1-16",NA,"2020","2020-22"
2020-01-16,NA,"22","26","experimento","6","982126058484300","vuelo grupal/enmascarando busqueda","rosado","0.0833333333333333",NA,"UCR-MPI_exp26_cam1_2020-1-16","UCR-MPI_exp26_cam3_2020-1-16","UCR-MPI_exp26_cam5_2020-1-16",NA,"2020","2020-22"
2020-01-16,NA,"22","26","experimento","6","982126058484349","vuelo grupal/enmascarando busqueda","verde","0.0833333333333333",NA,"UCR-MPI_exp26_cam1_2020-1-16","UCR-MPI_exp26_cam3_2020-1-16","UCR-MPI_exp26_cam5_2020-1-16",NA,"2020","2020-22"
2020-01-16,NA,"23","27","experimento","6","900200000279818","vuelo grupal/sin sonido","blanco","0.0833333333333333",NA,"UCR-MPI_exp27_cam1_2020-1-16","UCR-MPI_exp27_cam3_2020-1-16","UCR-MPI_exp27_cam5_2020-1-16",NA,"2020","2020-23"
2020-01-16,NA,"23","27","experimento","6","982126051278521","vuelo grupal/sin sonido","amarillo","0.0833333333333333",NA,"UCR-MPI_exp27_cam1_2020-1-16","UCR-MPI_exp27_cam3_2020-1-16","UCR-MPI_exp27_cam5_2020-1-16",NA,"2020","2020-23"
2020-01-16,NA,"23","27","experimento","6","982126058484263","vuelo grupal/sin sonido","naranja","0.0833333333333333",NA,"UCR-MPI_exp27_cam1_2020-1-16","UCR-MPI_exp27_cam3_2020-1-16","UCR-MPI_exp27_cam5_2020-1-16",NA,"2020","2020-23"
2020-01-16,NA,"23","27","experimento","6","982126058484300","vuelo grupal/sin sonido","rosado","0.0833333333333333",NA,"UCR-MPI_exp27_cam1_2020-1-16","UCR-MPI_exp27_cam3_2020-1-16","UCR-MPI_exp27_cam5_2020-1-16",NA,"2020","2020-23"
2020-01-16,NA,"23","27","experimento","6","982126058484349","vuelo grupal/sin sonido","verde","0.0833333333333333",NA,"UCR-MPI_exp27_cam1_2020-1-16","UCR-MPI_exp27_cam3_2020-1-16","UCR-MPI_exp27_cam5_2020-1-16",NA,"2020","2020-23"
2020-01-16,NA,"15","20","experimento","6","900200000279818","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp20_cam1_2020-1-16","UCR-MPI_exp20_cam3_2020-1-16","UCR-MPI_exp20_cam5_2020-1-16",NA,"2020","2020-15"
2020-01-16,NA,"17","22","experimento","6","982126051278521","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp22_cam1_2020-1-16","UCR-MPI_exp22_cam3_2020-1-16","UCR-MPI_exp22_cam5_2020-1-16",NA,"2020","2020-17"
2020-01-16,NA,"14","19","experimento","6","982126058484263","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp19_cam1_2020-1-16","UCR-MPI_exp19_cam3_2020-1-16","UCR-MPI_exp19_cam5_2020-1-16",NA,"2020","2020-14"
2020-01-16,NA,"18","23","experimento","6","982126058484300","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp23_cam1_2020-1-16","UCR-MPI_exp23_cam3_2020-1-16","UCR-MPI_exp23_cam5_2020-1-16",NA,"2020","2020-18"
2020-01-16,NA,"16","21","experimento","6","982126058484349","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp21_cam1_2020-1-16","UCR-MPI_exp21_cam3_2020-1-16","UCR-MPI_exp21_cam5_2020-1-16",NA,"2020","2020-16"
2020-01-16,NA,"13","18","experimento","6",NA,NA,NA,NA,"problemas tecnicos, no se tomaron videos",NA,NA,NA,NA,"2020","2020-13"
2020-01-17,0.405555555555555,"31","37","experimento","1","900200000279422","vuelo grupal/enmascarando busqueda","naranja","0.0833333333333333",NA,"UCR-MPI_exp37_cam1_2020-1-17","UCR-MPI_exp37_cam3_2020-1-17","UCR-MPI_exp37_cam5_2020-1-17",NA,"2020","2020-31"
2020-01-17,0.405555555555555,"31","37","experimento","1","982126051278491","vuelo grupal/enmascarando busqueda","rosado",NA,NA,"UCR-MPI_exp37_cam1_2020-1-17","UCR-MPI_exp37_cam3_2020-1-17","UCR-MPI_exp37_cam5_2020-1-17",NA,"2020","2020-31"
2020-01-17,0.405555555555555,"31","37","experimento","1","982126052945890","vuelo grupal/enmascarando busqueda","verde",NA,NA,"UCR-MPI_exp37_cam1_2020-1-17","UCR-MPI_exp37_cam3_2020-1-17","UCR-MPI_exp37_cam5_2020-1-17",NA,"2020","2020-31"
2020-01-17,0.4,"30","36","experimento","1","900200000279422","vuelo grupal/sin sonido","naranja","0.0861111111111111",NA,"UCR-MPI_exp36_cam1_2020-1-17","UCR-MPI_exp36_cam3_2020-1-17","UCR-MPI_exp36_cam5_2020-1-17",NA,"2020","2020-30"
2020-01-17,0.4,"30","36","experimento","1","982126051278491","vuelo grupal/sin sonido","rosado",NA,NA,"UCR-MPI_exp36_cam1_2020-1-17","UCR-MPI_exp36_cam3_2020-1-17","UCR-MPI_exp36_cam5_2020-1-17",NA,"2020","2020-30"
2020-01-17,0.4,"30","36","experimento","1","982126052945890","vuelo grupal/sin sonido","verde",NA,NA,"UCR-MPI_exp36_cam1_2020-1-17","UCR-MPI_exp36_cam3_2020-1-17","UCR-MPI_exp36_cam5_2020-1-17",NA,"2020","2020-30"
2020-01-17,NA,"24","30","experimento","1","900200000279422","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp30_cam1_2020-1-17","UCR-MPI_exp30_cam3_2020-1-17","UCR-MPI_exp30_cam5_2020-1-17",NA,"2020","2020-24"
2020-01-17,NA,"25","31","experimento","1","982126051278491","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp31_cam1_2020-1-17","UCR-MPI_exp31_cam3_2020-1-17","UCR-MPI_exp31_cam5_2020-1-17",NA,"2020","2020-25"
2020-01-17,0.351388888888889,"26","32","experimento","1","982126052945890","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp32_cam1_2020-1-17","UCR-MPI_exp32_cam3_2020-1-17","UCR-MPI_exp32_cam5_2020-1-17",NA,"2020","2020-26"
2020-01-17,0.425,"34","38","experimento","40","900200000206430","vuelo grupal/enmascarando busqueda","anaranjado","0.0833333333333333","con individuos de grupos 9 y 12 mas otros","UCR-MPI_exp38_cam1_2020-1-17","UCR-MPI_exp38_cam3_2020-1-17","UCR-MPI_exp38_cam5_2020-1-17",NA,"2020","2020-34"
2020-01-17,0.425,"34","38","experimento","40","982126051278540","vuelo grupal/enmascarando busqueda","rosado","0.0833333333333333","con individuos de grupos 9 y 12 mas otros","UCR-MPI_exp38_cam1_2020-1-17","UCR-MPI_exp38_cam3_2020-1-17","UCR-MPI_exp38_cam5_2020-1-17",NA,"2020","2020-34"
2020-01-17,0.425,"34","38","experimento","40","982126052945921","vuelo grupal/enmascarando busqueda","verde","0.0833333333333333","con individuos de grupos 9 y 12 mas otros","UCR-MPI_exp38_cam1_2020-1-17","UCR-MPI_exp38_cam3_2020-1-17","UCR-MPI_exp38_cam5_2020-1-17",NA,"2020","2020-34"
2020-01-17,0.428472222222222,"36","39","experimento","40","900200000206430","vuelo grupal/sin sonido","anaranjado","0.0833333333333333","con individuos de grupos 9 y 12 mas otros","UCR-MPI_exp39_cam1_2020-1-17","UCR-MPI_exp39_cam3_2020-1-17","UCR-MPI_exp39_cam5_2020-1-17",NA,"2020","2020-36"
2020-01-17,0.428472222222222,"36","39","experimento","40","982126051278540","vuelo grupal/sin sonido","rosado","0.0833333333333333","con individuos de grupos 9 y 12 mas otros","UCR-MPI_exp39_cam1_2020-1-17","UCR-MPI_exp39_cam3_2020-1-17","UCR-MPI_exp39_cam5_2020-1-17",NA,"2020","2020-36"
2020-01-17,0.428472222222222,"36","39","experimento","40","982126052945921","vuelo grupal/sin sonido","verde","0.0833333333333333","con individuos de grupos 9 y 12 mas otros","UCR-MPI_exp39_cam1_2020-1-17","UCR-MPI_exp39_cam3_2020-1-17","UCR-MPI_exp39_cam5_2020-1-17",NA,"2020","2020-36"
2020-01-17,0.369444444444444,"29","35","experimento","40","900200000206430","vuelo solo","no aplica","0.0833333333333333","con individuos de grupos 9 y 12 mas otros, la marca acustica casi no se grabó","UCR-MPI_exp35_cam1_2020-1-17","UCR-MPI_exp35_cam3_2020-1-17","UCR-MPI_exp35_cam5_2020-1-17",NA,"2020","2020-29"
2020-01-17,0.356944444444444,"27","33","experimento","40","982126051278540","vuelo solo","no aplica","0.0833333333333333","con individuos de grupos 9 y 12 mas otros","UCR-MPI_exp33_cam1_2020-1-17","UCR-MPI_exp33_cam3_2020-1-17","UCR-MPI_exp33_cam5_2020-1-17",NA,"2020","2020-27"
2020-01-17,0.363888888888889,"28","34","experimento","40","982126052945921","vuelo solo","no aplica","0.0833333333333333","con individuos de grupos 9 y 12 mas otros","UCR-MPI_exp34_cam1_2020-1-17","UCR-MPI_exp34_cam3_2020-1-17","UCR-MPI_exp34_cam5_2020-1-17",NA,"2020","2020-28"
2020-01-18,0.429861111111111,"37","42","experimento","3","982000359237615","vuelo grupal/enmascarando busqueda","rosado","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp42_cam1_2020-1-18","UCR-MPI_exp42_cam3_2020-1-18","UCR-MPI_exp42_cam5_2020-1-18",NA,"2020","2020-37"
2020-01-18,0.429861111111111,"37","42","experimento","3","982126051278504","vuelo grupal/enmascarando busqueda","sin pintar","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp42_cam1_2020-1-18","UCR-MPI_exp42_cam3_2020-1-18","UCR-MPI_exp42_cam5_2020-1-18",NA,"2020","2020-37"
2020-01-18,0.429861111111111,"37","42","experimento","3","982126051278529","vuelo grupal/enmascarando busqueda","anaranjado","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp42_cam1_2020-1-18","UCR-MPI_exp42_cam3_2020-1-18","UCR-MPI_exp42_cam5_2020-1-18",NA,"2020","2020-37"
2020-01-18,0.429861111111111,"37","42","experimento","3","982126051278564","vuelo grupal/enmascarando busqueda","amarillo","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp42_cam1_2020-1-18","UCR-MPI_exp42_cam3_2020-1-18","UCR-MPI_exp42_cam5_2020-1-18",NA,"2020","2020-37"
2020-01-18,0.429861111111111,"37","42","experimento","3","982126052945896","vuelo grupal/enmascarando busqueda","verde","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp42_cam1_2020-1-18","UCR-MPI_exp42_cam3_2020-1-18","UCR-MPI_exp42_cam5_2020-1-18",NA,"2020","2020-37"
2020-01-18,0.436111111111111,"38","43","experimento","3","982000359237615","vuelo grupal/sin sonido","rosado","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp43_cam1_2020-1-18","UCR-MPI_exp43_cam3_2020-1-18","UCR-MPI_exp43_cam5_2020-1-18",NA,"2020","2020-38"
2020-01-18,0.436111111111111,"38","43","experimento","3","982126051278504","vuelo grupal/sin sonido","sin pintar","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp43_cam1_2020-1-18","UCR-MPI_exp43_cam3_2020-1-18","UCR-MPI_exp43_cam5_2020-1-18",NA,"2020","2020-38"
2020-01-18,0.436111111111111,"38","43","experimento","3","982126051278529","vuelo grupal/sin sonido","anaranjado","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp43_cam1_2020-1-18","UCR-MPI_exp43_cam3_2020-1-18","UCR-MPI_exp43_cam5_2020-1-18",NA,"2020","2020-38"
2020-01-18,0.436111111111111,"38","43","experimento","3","982126051278564","vuelo grupal/sin sonido","amarillo","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp43_cam1_2020-1-18","UCR-MPI_exp43_cam3_2020-1-18","UCR-MPI_exp43_cam5_2020-1-18",NA,"2020","2020-38"
2020-01-18,0.436111111111111,"38","43","experimento","3","982126052945896","vuelo grupal/sin sonido","verde","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp43_cam1_2020-1-18","UCR-MPI_exp43_cam3_2020-1-18","UCR-MPI_exp43_cam5_2020-1-18",NA,"2020","2020-38"
2020-01-18,0.120138888888889,"47","52","experimento","3","982000359237615","vuelo solo","no aplica","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp52_cam1_2020-1-18","UCR-MPI_exp52_cam3_2020-1-18","UCR-MPI_exp52_cam5_2020-1-18",NA,"2020","2020-47"
2020-01-18,0.128472222222222,"49","54","experimento","3","982126051278504","vuelo solo","no aplica","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp54_cam1_2020-1-18","UCR-MPI_exp54_cam3_2020-1-18","UCR-MPI_exp54_cam5_2020-1-18",NA,"2020","2020-49"
2020-01-18,0.125,"48","53","experimento","3","982126051278529","vuelo solo","no aplica","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp53_cam1_2020-1-18","UCR-MPI_exp53_cam3_2020-1-18","UCR-MPI_exp53_cam5_2020-1-18",NA,"2020","2020-48"
