"indiv.1","indiv.2","mean.overlap","mean.distance","group","type","group.size","experiment.type"
"982126052945858","982126057846182",0.403078956210264,0.900974670481842,"GX","vuelo grupal/sin sonido",4,"Regular"
"982126052945858","982126058484279",0.482547808556794,0.622211771020867,"GX","vuelo grupal/sin sonido",4,"Regular"
"982126057846182","982126058484279",0.452538065089548,1.08630476390071,"GX","vuelo grupal/sin sonido",4,"Regular"
"900200000206430","982126051278540",0.0945009925025419,2.2709549334221,"40","vuelo grupal/sin sonido",3,"Regular"
"900200000206430","982126052945921",0.0600765350464912,3.02664676580338,"40","vuelo grupal/sin sonido",3,"Regular"
"982126051278540","982126052945921",0.170105428629114,1.97966450620001,"40","vuelo grupal/sin sonido",3,"Regular"
"982126052945887","982126057845083",0.151488134600507,2.31551857335566,"A2021","vuelo grupal/sin sonido",3,"Regular"
"982126052945887","982126058484282",0.325899580706135,2.05812045128749,"A2021","vuelo grupal/sin sonido",3,"Regular"
"982126057845083","982126058484282",0.457761656995521,0.837974435337523,"A2021","vuelo grupal/sin sonido",3,"Regular"
"900200000206430","982126051278551",0.208948194940869,1.74518516963951,"B2021","vuelo grupal/sin sonido",4,"Regular"
"900200000206430","982126052945877",0.0518021909465686,3.32326295541516,"B2021","vuelo grupal/sin sonido",4,"Regular"
"900200000206430","982126057846223",0.0838789263637875,2.01795109954512,"B2021","vuelo grupal/sin sonido",4,"Regular"
"982126051278551","982126052945877",0.00744406634677459,4.95144497498269,"B2021","vuelo grupal/sin sonido",4,"Regular"
"982126051278551","982126057846223",0.0217412550996673,3.53779778655903,"B2021","vuelo grupal/sin sonido",4,"Regular"
"982126052945877","982126057846223",0.0404656661221529,1.49571123244253,"B2021","vuelo grupal/sin sonido",4,"Regular"
"982126057846174","982126057846203",0.165867801501209,2.35671172403427,"GP2","vuelo grupal/sin sonido",4,"Regular"
"982126057846174","982126057846216",0.354864253799174,1.4605978317184,"GP2","vuelo grupal/sin sonido",4,"Regular"
"982126057846174","982126057846239",0.334850090951038,1.82927701361904,"GP2","vuelo grupal/sin sonido",4,"Regular"
"982126057846203","982126057846216",0.000615728577342657,3.73089642240516,"GP2","vuelo grupal/sin sonido",4,"Regular"
"982126057846203","982126057846239",0.0526332464068092,2.8266028798021,"GP2","vuelo grupal/sin sonido",4,"Regular"
"982126057846216","982126057846239",0.280112931239973,2.05413606445752,"GP2","vuelo grupal/sin sonido",4,"Regular"
"sin tag 10","sin tag 11",0.273092557310366,1.5062743345116,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 10","sin tag 12",0.451181208661258,0.999786715873017,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 10","sin tag 13",0.156013864061205,1.9657581268215,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 10","sin tag 9",0.437424630620261,1.44731880093364,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 11","sin tag 12",0.355216933509528,1.42101739523073,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 11","sin tag 13",0.259697796562447,1.46270416296592,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 11","sin tag 9",0.135866798618617,1.85590109383217,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 12","sin tag 13",0.328316939268535,1.27406261822932,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 12","sin tag 9",0.419930233563134,0.818601710748439,"GP7","vuelo grupal/sin sonido",5,"Regular"
"sin tag 13","sin tag 9",0.249357906008181,1.17076924994032,"GP7","vuelo grupal/sin sonido",5,"Regular"
"982126057845207","982126058484275",0.199677082482608,1.1553418935696,"grupo mixto 2","vuelo grupos mixtos",4,"Artificial"
"982126057845207","982126058484302",0.0121858277778473,3.41415730265232,"grupo mixto 2","vuelo grupos mixtos",4,"Artificial"
"982126057845207","982126058484305",0.000266209057614392,2.8887994592863,"grupo mixto 2","vuelo grupos mixtos",4,"Artificial"
"982126058484275","982126058484302",0.0748791990776436,2.34779558353173,"grupo mixto 2","vuelo grupos mixtos",4,"Artificial"
"982126058484275","982126058484305",0.0973372209820994,1.97168492158441,"grupo mixto 2","vuelo grupos mixtos",4,"Artificial"
"982126058484302","982126058484305",0.206306002508326,1.43709025158377,"grupo mixto 2","vuelo grupos mixtos",4,"Artificial"
