Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	score	class_fixed	class	org.sound.files
45859	Spectrogram 1	1	44.344150000	44.395150000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	44.3442	13354.800	42822.600	0.783105	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49094	Spectrogram 1	1	46.368747523	46.409884956	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	46.3687	16123.439	28361.826				
45860	Spectrogram 1	1	49.619500000	49.670500000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	49.6195	13354.800	42822.600	0.6312126	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
45861	Spectrogram 1	1	51.192170000	51.243170000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	51.1922	13354.800	42822.600	0.5764126	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49095	Spectrogram 1	1	53.507782158	53.548919591	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	53.5078	15370.308	26667.280				
49096	Spectrogram 1	1	57.356703202	57.400411724	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	57.3567	15182.025	27420.412				
49097	Spectrogram 1	1	60.202899325	60.238894579	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	60.2029	15182.025	27985.260				
49098	Spectrogram 1	1	62.275105589	62.313671932	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	62.2751	16311.722	28738.392				
49099	Spectrogram 1	1	68.867379174	68.921372055	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	68.8674	15182.025	30244.655				
49100	Spectrogram 1	1	70.217201184	70.268622975	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	70.2172	15935.157	27043.846				
45901	Spectrogram 1	1	70.274900000	70.325900000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	70.2749	13354.800	42822.600	0.6621048	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49101	Spectrogram 1	1	70.286620602	70.338042392	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	70.2866	15558.591	27420.412				
45862	Spectrogram 1	1	70.650230000	70.701230000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	70.6502	13354.800	42822.600	0.7228748	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
45863	Spectrogram 1	1	72.414240000	72.465240000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	72.4142	13354.800	42822.600	0.6854588	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
45897	Spectrogram 1	1	74.606250000	74.657250000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	74.6063	13354.800	42822.600	0.6775956	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49102	Spectrogram 1	1	76.621033504	76.672455295	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	76.6210	15746.874	35704.858				
49103	Spectrogram 1	1	79.770049951	79.824042832	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	79.7700	14805.459	27420.412				
49104	Spectrogram 1	1	82.587964089	82.636814791	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	82.5880	14617.176	33633.746				
45864	Spectrogram 1	1	83.216280000	83.267280000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	83.2163	13354.800	42822.600	0.7234521	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49105	Spectrogram 1	1	84.284883187	84.331162799	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	84.2849	15558.591	27232.129				
49106	Spectrogram 1	1	84.691115335	84.755392573	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	84.6911	15558.591	32315.766				
49107	Spectrogram 1	1	84.817098722	84.883947050	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	84.8171	15182.025	33633.746				
45865	Spectrogram 1	1	85.741620000	85.792620000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	85.7416	13354.800	42822.600	0.7152264	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49109	Spectrogram 1	1	87.699290122	87.755854091	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	87.6993	14993.742	31374.352				
49110	Spectrogram 1	1	88.200652582	88.249503283	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	88.2007	16311.722	30432.938				
49111	Spectrogram 1	1	89.283081279	89.331931981	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	89.2831	16311.722	29679.806				
45866	Spectrogram 1	1	91.368970000	91.419970000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	91.3690	13354.800	42822.600	0.7670384	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49112	Spectrogram 1	1	91.969869851	92.016149462	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	91.9699	17064.854	29868.089				
45867	Spectrogram 1	1	94.288310000	94.339310000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	94.2883	13354.800	42822.600	0.7146662	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49108	Spectrogram 1	1	95.427985285	95.492262523	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	95.4280	15746.874	30432.938				
45868	Spectrogram 1	1	96.948320000	96.999320000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	96.9483	13354.800	42822.600	0.6406912	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49115	Spectrogram 1	1	97.914228895	97.965650685	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	97.9142	16500.005	34198.595				
49116	Spectrogram 1	1	98.395022639	98.451586609	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	98.3950	17064.854	31939.201				
49117	Spectrogram 1	1	99.379749933	99.426029545	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	99.3797	14617.176	26290.714				
45869	Spectrogram 1	1	99.889660000	99.940660000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	99.8897	13354.800	42822.600	0.7405372	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49113	Spectrogram 1	1	101.184654792	101.225792225	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	101.1847	15558.591	35893.141				
49114	Spectrogram 1	1	101.961123834	102.043398699	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	101.9611	16876.571	32692.332				
49118	Spectrogram 1	1	102.701597622	102.760732681	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	102.7016	14805.459	30056.372				
49119	Spectrogram 1	1	103.809737214	103.858587916	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	103.8097	15935.157	28926.675				
49120	Spectrogram 1	1	108.160020719	108.221726868	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	108.1600	14805.459	28173.543				
49121	Spectrogram 1	1	110.995932507	111.049925387	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	110.9959	16311.722	30621.220				
49122	Spectrogram 1	1	111.209332939	111.273610177	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	111.2093	15935.157	30244.655				
45870	Spectrogram 1	1	111.210400000	111.261400000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	111.2104	13354.800	42822.600	0.6408889	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49123	Spectrogram 1	1	113.746998317	113.785564660	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	113.7470	16876.571	29679.806				
49124	Spectrogram 1	1	114.986263476	115.035114177	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	114.9863	16500.005	28738.392				
45871	Spectrogram 1	1	115.821100000	115.872100000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	115.8211	13354.800	42822.600	0.7571035	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49125	Spectrogram 1	1	115.827009756	115.878431547	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	115.8270	16123.439	31374.352				
45872	Spectrogram 1	1	116.586400000	116.637400000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	116.5864	13354.800	42822.600	0.7916464	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49126	Spectrogram 1	1	116.600907708	116.639474052	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	116.6009	15182.025	30244.655				
49127	Spectrogram 1	1	117.914734464	117.955871897	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	117.9147	15746.874	26855.563				
49128	Spectrogram 1	1	120.382980425	120.426688947	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	120.3830	14617.176	30621.220				
49129	Spectrogram 1	1	121.593963599	121.650527569	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	121.5940	15558.591	26478.997				
45873	Spectrogram 1	1	122.811700000	122.862700000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	122.8117	13354.800	42822.600	0.7593458	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49130	Spectrogram 1	1	122.820373310	122.869224012	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	122.8204	14617.176	32127.483				
45881	Spectrogram 1	1	122.929100000	122.980100000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	122.9291	13354.800	42822.600	0.7915957	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49131	Spectrogram 1	1	122.933501250	122.987494131	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	122.9335	14617.176	32692.332				
49132	Spectrogram 1	1	123.131475145	123.190610204	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	123.1315	15182.025	31750.918				
45874	Spectrogram 1	1	126.263100000	126.314100000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	126.2631	13354.800	42822.600	0.7469513	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49133	Spectrogram 1	1	126.841557377	126.885265899	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	126.8416	16876.571	33257.181				
49134	Spectrogram 1	1	127.674590388	127.736296537	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	127.6746	15370.308	33068.898				
45875	Spectrogram 1	1	127.747100000	127.798100000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	127.7471	13354.800	42822.600	0.7668691	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
45876	Spectrogram 1	1	128.609100000	128.660100000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	128.6091	13354.800	42822.600	0.7341625	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49135	Spectrogram 1	1	130.849885973	130.898736674	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	130.8499	14617.176	32504.049				
49136	Spectrogram 1	1	131.320395359	131.366674971	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	131.3204	14240.611	30056.372				
49137	Spectrogram 1	1	132.521094175	132.582800324	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	132.5211	17441.419	33068.898				
7	Spectrogram 1	1	132.600400000	132.651400000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	132.6004	13354.800	42822.600	0.5336593	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49138	Spectrogram 1	1	132.839909278	132.904186517	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	132.8399	15558.591	30997.786				
45877	Spectrogram 1	1	134.773800000	134.824800000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	134.7738	13354.800	42822.600	0.7855521	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49139	Spectrogram 1	1	135.238735821	135.279873254	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	135.2387	15370.308	25349.300				
49140	Spectrogram 1	1	135.413569910	135.464991701	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	135.4136	16311.722	34763.444				
49141	Spectrogram 1	1	135.580690730	135.634683610	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	135.5807	15746.874	32880.615				
45878	Spectrogram 1	1	137.492500000	137.543500000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	137.4925	13354.800	42822.600	0.7872363	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49142	Spectrogram 1	1	139.213640276	139.272775335	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	139.2136	15558.591	35516.575				
49143	Spectrogram 1	1	139.406471991	139.457893782	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	139.4065	16123.439	30621.220				
24918	Spectrogram 1	1	154.826156667	154.877156667	ch1MPI_2020-01-31_10-12-23_0000196.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI_2020-01-31_10-12-23_0000196.wav	13.7927	13354.800	42822.600	0.6793905	call	call	ch1MPI_2020-01-31_10-12-23_0000196.wav
24818	Spectrogram 1	1	180.474196667	180.525196667	ch1MPI_2020-01-31_10-12-23_0000196.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI_2020-01-31_10-12-23_0000196.wav	39.4407	13354.800	42822.600	0.8691931	call	call	ch1MPI_2020-01-31_10-12-23_0000196.wav
24895	Spectrogram 1	1	187.351546667	187.402546667	ch1MPI_2020-01-31_10-12-23_0000196.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI_2020-01-31_10-12-23_0000196.wav	46.3181	13354.800	42822.600	0.7428039	call	call	ch1MPI_2020-01-31_10-12-23_0000196.wav
24817	Spectrogram 1	1	191.667546667	191.718546667	ch1MPI_2020-01-31_10-12-23_0000196.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI_2020-01-31_10-12-23_0000196.wav	50.6341	13354.800	42822.600	0.8726877	call	call	ch1MPI_2020-01-31_10-12-23_0000196.wav
24860	Spectrogram 1	1	195.534226667	195.585226667	ch1MPI_2020-01-31_10-12-23_0000196.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI_2020-01-31_10-12-23_0000196.wav	54.5008	13354.800	42822.600	0.8069284	call	call	ch1MPI_2020-01-31_10-12-23_0000196.wav
24829	Spectrogram 1	1	201.048236667	201.099236667	ch1MPI_2020-01-31_10-12-23_0000196.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI_2020-01-31_10-12-23_0000196.wav	60.0148	13354.800	42822.600	0.8564666	call	call	ch1MPI_2020-01-31_10-12-23_0000196.wav
24812	Spectrogram 1	1	209.721576667	209.772576667	ch1MPI_2020-01-31_10-12-23_0000196.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI_2020-01-31_10-12-23_0000196.wav	68.6881	13354.800	42822.600	0.8808852	call	call	ch1MPI_2020-01-31_10-12-23_0000196.wav
