"Video camara respaldo","Video camara 5","Video camara 3","Video camara 1","Día","Hora","Audio","Video","tipo de video","Grupo","Individuo","Experimento","Color","Tiempo de vuelo aprox","Anotaciones","Archivo de audio canal 1","Archivo de audio canal 2","Archivo de audio canal 3","Archivo de audio canal 4","Nuevo video camara 1","Nuevo video camara 3","Nuevo video camara 5","Nuevo video camara respaldo"
"UCR-MPI_exp141_cam-backup_2020-1-24","UCR-MPI_exp141_cam5_2020-1-24","UCR-MPI_exp141_cam3_2020-1-24","UCR-MPI_exp141_cam1_2020-1-24",2020-01-24,1899-12-31 02:52:00,137,"141","experimento","29","982126052945857","vuelo grupal/sin sonido","no aplica",1899-12-31 02:00:00,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 5 de nuevo, no se colorearon por ser un grupo muy grande. Camara 3 se mueve en algun momento, tomaren cuenta para traqueo, no se re quirio calibración posterior","UCR-MPI_exp141_ch1_2020-1-24.wav","UCR-MPI_exp141_ch2_2020-1-24.wav","UCR-MPI_exp141_ch3_2020-1-24.wav","UCR-MPI_exp141_ch4_2020-1-24.wav","0141-cam1_exp_2020-1-24_UCR-MPI","0141-cam3_exp_2020-1-24_UCR-MPI","0141-cam5_exp_2020-1-24_UCR-MPI","0141-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp141_cam-backup_2020-1-24","UCR-MPI_exp141_cam5_2020-1-24","UCR-MPI_exp141_cam3_2020-1-24","UCR-MPI_exp141_cam1_2020-1-24",2020-01-24,1899-12-31 02:52:00,137,"141","experimento","29","982126051278519","vuelo grupal/sin sonido","no aplica",1899-12-31 02:00:00,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 5 de nuevo, no se colorearon por ser un grupo muy grande. Camara 3 se mueve en algun momento, tomaren cuenta para traqueo, no se re quirio calibración posterior","UCR-MPI_exp141_ch1_2020-1-24.wav","UCR-MPI_exp141_ch2_2020-1-24.wav","UCR-MPI_exp141_ch3_2020-1-24.wav","UCR-MPI_exp141_ch4_2020-1-24.wav","0141-cam1_exp_2020-1-24_UCR-MPI","0141-cam3_exp_2020-1-24_UCR-MPI","0141-cam5_exp_2020-1-24_UCR-MPI","0141-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp141_cam-backup_2020-1-24","UCR-MPI_exp141_cam5_2020-1-24","UCR-MPI_exp141_cam3_2020-1-24","UCR-MPI_exp141_cam1_2020-1-24",2020-01-24,1899-12-31 02:52:00,137,"141","experimento","29","982126051278543","vuelo grupal/sin sonido","no aplica",1899-12-31 02:00:00,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 5 de nuevo, no se colorearon por ser un grupo muy grande. Camara 3 se mueve en algun momento, tomaren cuenta para traqueo, no se re quirio calibración posterior","UCR-MPI_exp141_ch1_2020-1-24.wav","UCR-MPI_exp141_ch2_2020-1-24.wav","UCR-MPI_exp141_ch3_2020-1-24.wav","UCR-MPI_exp141_ch4_2020-1-24.wav","0141-cam1_exp_2020-1-24_UCR-MPI","0141-cam3_exp_2020-1-24_UCR-MPI","0141-cam5_exp_2020-1-24_UCR-MPI","0141-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp142_cam-backup_2020-1-24","UCR-MPI_exp142_cam5_2020-1-24","UCR-MPI_exp142_cam3_2020-1-24","UCR-MPI_exp142_cam1_2020-1-24",2020-01-24,1899-12-31 03:02:00,138,"142","experimento","29","982126051278547","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:02:00,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 5 de nuevo, no se colorearon por ser un grupo muy grande","UCR-MPI_exp142_ch1_2020-1-24.wav","UCR-MPI_exp142_ch2_2020-1-24.wav","UCR-MPI_exp142_ch3_2020-1-24.wav","UCR-MPI_exp142_ch4_2020-1-24.wav","0142-cam1_exp_2020-1-24_UCR-MPI","0142-cam3_exp_2020-1-24_UCR-MPI","0142-cam5_exp_2020-1-24_UCR-MPI","0142-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp142_cam-backup_2020-1-24","UCR-MPI_exp142_cam5_2020-1-24","UCR-MPI_exp142_cam3_2020-1-24","UCR-MPI_exp142_cam1_2020-1-24",2020-01-24,1899-12-31 03:02:00,138,"142","experimento","29","982126051278543","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:02:00,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 5 de nuevo, no se colorearon por ser un grupo muy grande","UCR-MPI_exp142_ch1_2020-1-24.wav","UCR-MPI_exp142_ch2_2020-1-24.wav","UCR-MPI_exp142_ch3_2020-1-24.wav","UCR-MPI_exp142_ch4_2020-1-24.wav","0142-cam1_exp_2020-1-24_UCR-MPI","0142-cam3_exp_2020-1-24_UCR-MPI","0142-cam5_exp_2020-1-24_UCR-MPI","0142-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp142_cam-backup_2020-1-24","UCR-MPI_exp142_cam5_2020-1-24","UCR-MPI_exp142_cam3_2020-1-24","UCR-MPI_exp142_cam1_2020-1-24",2020-01-24,1899-12-31 03:02:00,138,"142","experimento","29","982126051278519","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:02:00,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 5 de nuevo, no se colorearon por ser un grupo muy grande","UCR-MPI_exp142_ch1_2020-1-24.wav","UCR-MPI_exp142_ch2_2020-1-24.wav","UCR-MPI_exp142_ch3_2020-1-24.wav","UCR-MPI_exp142_ch4_2020-1-24.wav","0142-cam1_exp_2020-1-24_UCR-MPI","0142-cam3_exp_2020-1-24_UCR-MPI","0142-cam5_exp_2020-1-24_UCR-MPI","0142-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp142_cam-backup_2020-1-24","UCR-MPI_exp142_cam5_2020-1-24","UCR-MPI_exp142_cam3_2020-1-24","UCR-MPI_exp142_cam1_2020-1-24",2020-01-24,1899-12-31 03:02:00,138,"142","experimento","29","A","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:02:00,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 5 de nuevo, no se colorearon por ser un grupo muy grande","UCR-MPI_exp142_ch1_2020-1-24.wav","UCR-MPI_exp142_ch2_2020-1-24.wav","UCR-MPI_exp142_ch3_2020-1-24.wav","UCR-MPI_exp142_ch4_2020-1-24.wav","0142-cam1_exp_2020-1-24_UCR-MPI","0142-cam3_exp_2020-1-24_UCR-MPI","0142-cam5_exp_2020-1-24_UCR-MPI","0142-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp142_cam-backup_2020-1-24","UCR-MPI_exp142_cam5_2020-1-24","UCR-MPI_exp142_cam3_2020-1-24","UCR-MPI_exp142_cam1_2020-1-24",2020-01-24,1899-12-31 03:02:00,138,"142","experimento","29","982126052945922","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:02:00,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 5 de nuevo, no se colorearon por ser un grupo muy grande","UCR-MPI_exp142_ch1_2020-1-24.wav","UCR-MPI_exp142_ch2_2020-1-24.wav","UCR-MPI_exp142_ch3_2020-1-24.wav","UCR-MPI_exp142_ch4_2020-1-24.wav","0142-cam1_exp_2020-1-24_UCR-MPI","0142-cam3_exp_2020-1-24_UCR-MPI","0142-cam5_exp_2020-1-24_UCR-MPI","0142-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp142_cam-backup_2020-1-24","UCR-MPI_exp142_cam5_2020-1-24","UCR-MPI_exp142_cam3_2020-1-24","UCR-MPI_exp142_cam1_2020-1-24",2020-01-24,1899-12-31 03:02:00,138,"142","experimento","29","982126052945857","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:02:00,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 5 de nuevo, no se colorearon por ser un grupo muy grande","UCR-MPI_exp142_ch1_2020-1-24.wav","UCR-MPI_exp142_ch2_2020-1-24.wav","UCR-MPI_exp142_ch3_2020-1-24.wav","UCR-MPI_exp142_ch4_2020-1-24.wav","0142-cam1_exp_2020-1-24_UCR-MPI","0142-cam3_exp_2020-1-24_UCR-MPI","0142-cam5_exp_2020-1-24_UCR-MPI","0142-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp142_cam-backup_2020-1-24","UCR-MPI_exp142_cam5_2020-1-24","UCR-MPI_exp142_cam3_2020-1-24","UCR-MPI_exp142_cam1_2020-1-24",2020-01-24,1899-12-31 03:02:00,138,"142","experimento","29","982126051278546","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:02:00,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 5 de nuevo, no se colorearon por ser un grupo muy grande","UCR-MPI_exp142_ch1_2020-1-24.wav","UCR-MPI_exp142_ch2_2020-1-24.wav","UCR-MPI_exp142_ch3_2020-1-24.wav","UCR-MPI_exp142_ch4_2020-1-24.wav","0142-cam1_exp_2020-1-24_UCR-MPI","0142-cam3_exp_2020-1-24_UCR-MPI","0142-cam5_exp_2020-1-24_UCR-MPI","0142-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp143_cam-backup_2020-1-24","UCR-MPI_exp143_cam5_2020-1-24","UCR-MPI_exp143_cam3_2020-1-24","UCR-MPI_exp143_cam1_2020-1-24",2020-01-24,1899-12-31 03:17:00,139,"143","experimento","42","982126058484320","vuelo grupal/sin sonido","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp143_ch1_2020-1-24.wav","UCR-MPI_exp143_ch2_2020-1-24.wav","UCR-MPI_exp143_ch3_2020-1-24.wav","UCR-MPI_exp143_ch4_2020-1-24.wav","0143-cam1_exp_2020-1-24_UCR-MPI","0143-cam3_exp_2020-1-24_UCR-MPI","0143-cam5_exp_2020-1-24_UCR-MPI","0143-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp143_cam-backup_2020-1-24","UCR-MPI_exp143_cam5_2020-1-24","UCR-MPI_exp143_cam3_2020-1-24","UCR-MPI_exp143_cam1_2020-1-24",2020-01-24,1899-12-31 03:17:00,139,"143","experimento","42","982126058484255","vuelo grupal/sin sonido","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp143_ch1_2020-1-24.wav","UCR-MPI_exp143_ch2_2020-1-24.wav","UCR-MPI_exp143_ch3_2020-1-24.wav","UCR-MPI_exp143_ch4_2020-1-24.wav","0143-cam1_exp_2020-1-24_UCR-MPI","0143-cam3_exp_2020-1-24_UCR-MPI","0143-cam5_exp_2020-1-24_UCR-MPI","0143-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp143_cam-backup_2020-1-24","UCR-MPI_exp143_cam5_2020-1-24","UCR-MPI_exp143_cam3_2020-1-24","UCR-MPI_exp143_cam1_2020-1-24",2020-01-24,1899-12-31 03:17:00,139,"143","experimento","42","982126058484307","vuelo grupal/sin sonido","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp143_ch1_2020-1-24.wav","UCR-MPI_exp143_ch2_2020-1-24.wav","UCR-MPI_exp143_ch3_2020-1-24.wav","UCR-MPI_exp143_ch4_2020-1-24.wav","0143-cam1_exp_2020-1-24_UCR-MPI","0143-cam3_exp_2020-1-24_UCR-MPI","0143-cam5_exp_2020-1-24_UCR-MPI","0143-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp143_cam-backup_2020-1-24","UCR-MPI_exp143_cam5_2020-1-24","UCR-MPI_exp143_cam3_2020-1-24","UCR-MPI_exp143_cam1_2020-1-24",2020-01-24,1899-12-31 03:17:00,139,"143","experimento","42","982126058484281","vuelo grupal/sin sonido","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp143_ch1_2020-1-24.wav","UCR-MPI_exp143_ch2_2020-1-24.wav","UCR-MPI_exp143_ch3_2020-1-24.wav","UCR-MPI_exp143_ch4_2020-1-24.wav","0143-cam1_exp_2020-1-24_UCR-MPI","0143-cam3_exp_2020-1-24_UCR-MPI","0143-cam5_exp_2020-1-24_UCR-MPI","0143-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp143_cam-backup_2020-1-24","UCR-MPI_exp143_cam5_2020-1-24","UCR-MPI_exp143_cam3_2020-1-24","UCR-MPI_exp143_cam1_2020-1-24",2020-01-24,1899-12-31 03:17:00,139,"143","experimento","42","982126058484278","vuelo grupal/sin sonido","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp143_ch1_2020-1-24.wav","UCR-MPI_exp143_ch2_2020-1-24.wav","UCR-MPI_exp143_ch3_2020-1-24.wav","UCR-MPI_exp143_ch4_2020-1-24.wav","0143-cam1_exp_2020-1-24_UCR-MPI","0143-cam3_exp_2020-1-24_UCR-MPI","0143-cam5_exp_2020-1-24_UCR-MPI","0143-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp144_cam-backup_2020-1-24","UCR-MPI_exp144_cam5_2020-1-24","UCR-MPI_exp144_cam3_2020-1-24","UCR-MPI_exp144_cam1_2020-1-24",2020-01-24,1899-12-31 03:28:00,140,"144","experimento","42","982126058484281","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp144_ch1_2020-1-24.wav","UCR-MPI_exp144_ch2_2020-1-24.wav","UCR-MPI_exp144_ch3_2020-1-24.wav","UCR-MPI_exp144_ch4_2020-1-24.wav","0144-cam1_exp_2020-1-24_UCR-MPI","0144-cam3_exp_2020-1-24_UCR-MPI","0144-cam5_exp_2020-1-24_UCR-MPI","0144-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp144_cam-backup_2020-1-24","UCR-MPI_exp144_cam5_2020-1-24","UCR-MPI_exp144_cam3_2020-1-24","UCR-MPI_exp144_cam1_2020-1-24",2020-01-24,1899-12-31 03:28:00,140,"144","experimento","42","982126058484255","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp144_ch1_2020-1-24.wav","UCR-MPI_exp144_ch2_2020-1-24.wav","UCR-MPI_exp144_ch3_2020-1-24.wav","UCR-MPI_exp144_ch4_2020-1-24.wav","0144-cam1_exp_2020-1-24_UCR-MPI","0144-cam3_exp_2020-1-24_UCR-MPI","0144-cam5_exp_2020-1-24_UCR-MPI","0144-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp144_cam-backup_2020-1-24","UCR-MPI_exp144_cam5_2020-1-24","UCR-MPI_exp144_cam3_2020-1-24","UCR-MPI_exp144_cam1_2020-1-24",2020-01-24,1899-12-31 03:28:00,140,"144","experimento","42","982126058484307","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp144_ch1_2020-1-24.wav","UCR-MPI_exp144_ch2_2020-1-24.wav","UCR-MPI_exp144_ch3_2020-1-24.wav","UCR-MPI_exp144_ch4_2020-1-24.wav","0144-cam1_exp_2020-1-24_UCR-MPI","0144-cam3_exp_2020-1-24_UCR-MPI","0144-cam5_exp_2020-1-24_UCR-MPI","0144-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp144_cam-backup_2020-1-24","UCR-MPI_exp144_cam5_2020-1-24","UCR-MPI_exp144_cam3_2020-1-24","UCR-MPI_exp144_cam1_2020-1-24",2020-01-24,1899-12-31 03:28:00,140,"144","experimento","42","982126058484278","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp144_ch1_2020-1-24.wav","UCR-MPI_exp144_ch2_2020-1-24.wav","UCR-MPI_exp144_ch3_2020-1-24.wav","UCR-MPI_exp144_ch4_2020-1-24.wav","0144-cam1_exp_2020-1-24_UCR-MPI","0144-cam3_exp_2020-1-24_UCR-MPI","0144-cam5_exp_2020-1-24_UCR-MPI","0144-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp144_cam-backup_2020-1-24","UCR-MPI_exp144_cam5_2020-1-24","UCR-MPI_exp144_cam3_2020-1-24","UCR-MPI_exp144_cam1_2020-1-24",2020-01-24,1899-12-31 03:28:00,140,"144","experimento","42","982126058484320","vuelo grupal/enmascarando busqueda","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp144_ch1_2020-1-24.wav","UCR-MPI_exp144_ch2_2020-1-24.wav","UCR-MPI_exp144_ch3_2020-1-24.wav","UCR-MPI_exp144_ch4_2020-1-24.wav","0144-cam1_exp_2020-1-24_UCR-MPI","0144-cam3_exp_2020-1-24_UCR-MPI","0144-cam5_exp_2020-1-24_UCR-MPI","0144-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp146_cam-backup_2020-1-24","UCR-MPI_exp146_cam5_2020-1-24","UCR-MPI_exp146_cam3_2020-1-24",NA,2020-01-24,1899-12-31 04:10:00,141,"146","experimento","4","982126051278475","vuelo solo","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp146_ch1_2020-1-24.wav","UCR-MPI_exp146_ch2_2020-1-24.wav","UCR-MPI_exp146_ch3_2020-1-24.wav","UCR-MPI_exp146_ch4_2020-1-24.wav",NA,"0146-cam3_exp_2020-1-24_UCR-MPI","0146-cam5_exp_2020-1-24_UCR-MPI","0146-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp147_cam-backup_2020-1-24","UCR-MPI_exp147_cam5_2020-1-24","UCR-MPI_exp147_cam3_2020-1-24",NA,2020-01-24,1899-12-31 04:16:00,142,"147","experimento","4","982000359237334","vuelo solo","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp147_ch1_2020-1-24.wav","UCR-MPI_exp147_ch2_2020-1-24.wav","UCR-MPI_exp147_ch3_2020-1-24.wav","UCR-MPI_exp147_ch4_2020-1-24.wav",NA,"0147-cam3_exp_2020-1-24_UCR-MPI","0147-cam5_exp_2020-1-24_UCR-MPI","0147-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp148_cam-backup_2020-1-24","UCR-MPI_exp148_cam5_2020-1-24","UCR-MPI_exp148_cam3_2020-1-24",NA,2020-01-24,1899-12-31 04:23:00,143,"148","experimento","4","900200000279820","vuelo solo","no aplica",1899-12-31 02:00:00,"volo raro y se perchó mucho, individuo viejo","UCR-MPI_exp148_ch1_2020-1-24.wav","UCR-MPI_exp148_ch2_2020-1-24.wav","UCR-MPI_exp148_ch3_2020-1-24.wav","UCR-MPI_exp148_ch4_2020-1-24.wav",NA,"0148-cam3_exp_2020-1-24_UCR-MPI","0148-cam5_exp_2020-1-24_UCR-MPI","0148-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp149_cam-backup_2020-1-24","UCR-MPI_exp149_cam5_2020-1-24","UCR-MPI_exp149_cam3_2020-1-24",NA,2020-01-24,1899-12-31 04:30:00,144,"149","experimento","4","982126058484339","vuelo solo","no aplica",1899-12-31 02:00:00,NA,"UCR-MPI_exp149_ch1_2020-1-24.wav","UCR-MPI_exp149_ch2_2020-1-24.wav","UCR-MPI_exp149_ch3_2020-1-24.wav","UCR-MPI_exp149_ch4_2020-1-24.wav",NA,"0149-cam3_exp_2020-1-24_UCR-MPI","0149-cam5_exp_2020-1-24_UCR-MPI","0149-cam-backup_exp_2020-1-24_UCR-MPI"
"UCR-MPI_exp151_cam-backup_2020-1-25","UCR-MPI_exp151_cam5_2020-1-25","UCR-MPI_exp151_cam3_2020-1-25","UCR-MPI_exp151_cam1_2020-1-25",2020-01-25,1899-12-31 10:23:00,145,"151","experimento","1","982126051278491","vuelo grupal/enmascarando busqueda","naranja",1899-12-31 02:00:00,"replica, no se grabaron (audio) los primeros 2 segundos (no se grabo la claqueta), vuelo muy cordinado","UCR-MPI_exp151_ch1_2020-1-25.wav","UCR-MPI_exp151_ch2_2020-1-25.wav","UCR-MPI_exp151_ch3_2020-1-25.wav","UCR-MPI_exp151_ch4_2020-1-25.wav","0151-cam1_exp_2020-1-25_UCR-MPI","0151-cam3_exp_2020-1-25_UCR-MPI","0151-cam5_exp_2020-1-25_UCR-MPI","0151-cam-backup_exp_2020-1-25_UCR-MPI"
"UCR-MPI_exp151_cam-backup_2020-1-25","UCR-MPI_exp151_cam5_2020-1-25","UCR-MPI_exp151_cam3_2020-1-25","UCR-MPI_exp151_cam1_2020-1-25",2020-01-25,1899-12-31 10:23:00,145,"151","experimento","1","900200000279422","vuelo grupal/enmascarando busqueda","rosado",1899-12-31 02:00:00,"replica, no se grabaron (audio) los primeros 2 segundos (no se grabo la claqueta), vuelo muy cordinado","UCR-MPI_exp151_ch1_2020-1-25.wav","UCR-MPI_exp151_ch2_2020-1-25.wav","UCR-MPI_exp151_ch3_2020-1-25.wav","UCR-MPI_exp151_ch4_2020-1-25.wav","0151-cam1_exp_2020-1-25_UCR-MPI","0151-cam3_exp_2020-1-25_UCR-MPI","0151-cam5_exp_2020-1-25_UCR-MPI","0151-cam-backup_exp_2020-1-25_UCR-MPI"
"UCR-MPI_exp151_cam-backup_2020-1-25","UCR-MPI_exp151_cam5_2020-1-25","UCR-MPI_exp151_cam3_2020-1-25","UCR-MPI_exp151_cam1_2020-1-25",2020-01-25,1899-12-31 10:23:00,145,"151","experimento","1","982126052945890","vuelo grupal/enmascarando busqueda","verde",1899-12-31 02:00:00,"replica, no se grabaron (audio) los primeros 2 segundos (no se grabo la claqueta), vuelo muy cordinado","UCR-MPI_exp151_ch1_2020-1-25.wav","UCR-MPI_exp151_ch2_2020-1-25.wav","UCR-MPI_exp151_ch3_2020-1-25.wav","UCR-MPI_exp151_ch4_2020-1-25.wav","0151-cam1_exp_2020-1-25_UCR-MPI","0151-cam3_exp_2020-1-25_UCR-MPI","0151-cam5_exp_2020-1-25_UCR-MPI","0151-cam-backup_exp_2020-1-25_UCR-MPI"
"UCR-MPI_exp152_cam-backup_2020-1-25","UCR-MPI_exp152_cam5_2020-1-25","UCR-MPI_exp152_cam3_2020-1-25","UCR-MPI_exp152_cam1_2020-1-25",2020-01-25,1899-12-31 10:30:00,146,"152","experimento","1","982126051278491","vuelo grupal/sin sonido","naranja",1899-12-31 02:00:00,"replica","UCR-MPI_exp152_ch1_2020-1-25.wav","UCR-MPI_exp152_ch2_2020-1-25.wav","UCR-MPI_exp152_ch3_2020-1-25.wav","UCR-MPI_exp152_ch4_2020-1-25.wav","0152-cam1_exp_2020-1-25_UCR-MPI","0152-cam3_exp_2020-1-25_UCR-MPI","0152-cam5_exp_2020-1-25_UCR-MPI","0152-cam-backup_exp_2020-1-25_UCR-MPI"
"UCR-MPI_exp152_cam-backup_2020-1-25","UCR-MPI_exp152_cam5_2020-1-25","UCR-MPI_exp152_cam3_2020-1-25","UCR-MPI_exp152_cam1_2020-1-25",2020-01-25,1899-12-31 10:30:00,146,"152","experimento","1","900200000279422","vuelo grupal/sin sonido","rosado",1899-12-31 02:00:00,"replica","UCR-MPI_exp152_ch1_2020-1-25.wav","UCR-MPI_exp152_ch2_2020-1-25.wav","UCR-MPI_exp152_ch3_2020-1-25.wav","UCR-MPI_exp152_ch4_2020-1-25.wav","0152-cam1_exp_2020-1-25_UCR-MPI","0152-cam3_exp_2020-1-25_UCR-MPI","0152-cam5_exp_2020-1-25_UCR-MPI","0152-cam-backup_exp_2020-1-25_UCR-MPI"
"UCR-MPI_exp152_cam-backup_2020-1-25","UCR-MPI_exp152_cam5_2020-1-25","UCR-MPI_exp152_cam3_2020-1-25","UCR-MPI_exp152_cam1_2020-1-25",2020-01-25,1899-12-31 10:30:00,146,"152","experimento","1","982126052945890","vuelo grupal/sin sonido","verde",1899-12-31 02:00:00,"replica","UCR-MPI_exp152_ch1_2020-1-25.wav","UCR-MPI_exp152_ch2_2020-1-25.wav","UCR-MPI_exp152_ch3_2020-1-25.wav","UCR-MPI_exp152_ch4_2020-1-25.wav","0152-cam1_exp_2020-1-25_UCR-MPI","0152-cam3_exp_2020-1-25_UCR-MPI","0152-cam5_exp_2020-1-25_UCR-MPI","0152-cam-backup_exp_2020-1-25_UCR-MPI"
"UCR-MPI_exp153_cam-backup_2020-1-25","UCR-MPI_exp153_cam5_2020-1-25","UCR-MPI_exp153_cam3_2020-1-25","UCR-MPI_exp153_cam1_2020-1-25",2020-01-25,1899-12-31 10:48:00,147,"153","experimento","18-A-B","900200000206691","vuelo grupal/enmascarando busqueda","amarillo",1899-12-31 02:00:00,"replica, camara 3 se cambio bateria y pudo moverse levemente, revisar","UCR-MPI_exp153_ch1_2020-1-25.wav","UCR-MPI_exp153_ch2_2020-1-25.wav","UCR-MPI_exp153_ch3_2020-1-25.wav","UCR-MPI_exp153_ch4_2020-1-25.wav","0153-cam1_exp_2020-1-25_UCR-MPI","0153-cam3_exp_2020-1-25_UCR-MPI","0153-cam5_exp_2020-1-25_UCR-MPI","0153-cam-backup_exp_2020-1-25_UCR-MPI"
"UCR-MPI_exp153_cam-backup_2020-1-25","UCR-MPI_exp153_cam5_2020-1-25","UCR-MPI_exp153_cam3_2020-1-25","UCR-MPI_exp153_cam1_2020-1-25",2020-01-25,1899-12-31 10:48:00,147,"153","experimento","18-A-B","982126058484287","vuelo grupal/enmascarando busqueda","rosado",1899-12-31 02:00:00,"replica, camara 3 se cambio bateria y pudo moverse levemente, revisar","UCR-MPI_exp153_ch1_2020-1-25.wav","UCR-MPI_exp153_ch2_2020-1-25.wav","UCR-MPI_exp153_ch3_2020-1-25.wav","UCR-MPI_exp153_ch4_2020-1-25.wav","0153-cam1_exp_2020-1-25_UCR-MPI","0153-cam3_exp_2020-1-25_UCR-MPI","0153-cam5_exp_2020-1-25_UCR-MPI","0153-cam-backup_exp_2020-1-25_UCR-MPI"
"UCR-MPI_exp153_cam-backup_2020-1-25","UCR-MPI_exp153_cam5_2020-1-25","UCR-MPI_exp153_cam3_2020-1-25","UCR-MPI_exp153_cam1_2020-1-25",2020-01-25,1899-12-31 10:48:00,147,"153","experimento","18-A-B","982126058484254","vuelo grupal/enmascarando busqueda","verde",1899-12-31 02:00:00,"replica, camara 3 se cambio bateria y pudo moverse levemente, revisar","UCR-MPI_exp153_ch1_2020-1-25.wav","UCR-MPI_exp153_ch2_2020-1-25.wav","UCR-MPI_exp153_ch3_2020-1-25.wav","UCR-MPI_exp153_ch4_2020-1-25.wav","0153-cam1_exp_2020-1-25_UCR-MPI","0153-cam3_exp_2020-1-25_UCR-MPI","0153-cam5_exp_2020-1-25_UCR-MPI","0153-cam-backup_exp_2020-1-25_UCR-MPI"
"UCR-MPI_exp156_cam-backup_2020-1-25","UCR-MPI_exp156_cam5_2020-1-25","UCR-MPI_exp156_cam3_2020-1-25","UCR-MPI_exp156_cam1_2020-1-25",2020-01-25,1899-12-31 11:06:00,148,"156","experimento","18-A-B","900200000206691","vuelo grupal/sin sonido","amarillo",1899-12-31 02:00:00,"replica","UCR-MPI_exp156_ch1_2020-1-25.wav","UCR-MPI_exp156_ch2_2020-1-25.wav","UCR-MPI_exp156_ch3_2020-1-25.wav","UCR-MPI_exp156_ch4_2020-1-25.wav","0156-cam1_exp_2020-1-25_UCR-MPI","0156-cam3_exp_2020-1-25_UCR-MPI","0156-cam5_exp_2020-1-25_UCR-MPI","0156-cam-backup_exp_2020-1-25_UCR-MPI"
